Name of Icebreaker Tool,Complexity of Tool,Number of Participants,Materials,Length of Time,Overview of Tool,URL of Video Training,When to use it ?,Transcription
Dance Moves,Easy,"Just the facilitator. Participants
can be added if dancing shoes are
provided.","The natural gift of dance moves
or lack of dance moves",2-4 minutes,"WAKE UP. In order to get the group’s entire attention, the
facilitator will first embarrass themselves before terrifying
the room with some serious dance moves. Why? By being
vulnerable as a facilitator, the bar is set for the rest of the
team. Acting silly is safe. Thinking differently is
encouraged. Best of all, if you are lucky, one participant will
show off their skills without encouragement. No dancing
skills are required.",https://stalechips.teachable.com/courses/1732552/lectures/39190179,Before: Beginning the session or serious module. After: Kicking off the session or a break.,"You don't need anything for this one except for moves. Okay, this is the setup. I tell everybody, I'm about to show you my single greatest dance move that I have ever had. I've perfected it over the years. It is very meaningful to me. So without talking about it, I'm just going to show you. And that's what I say to them. So I come back, make sure there's enough room. I try to create some space here and then I do it. Sound effects work. They help a little bit. At this point in time, everybody has completely either lost their mind, have no idea where they are. They're either laughing at me, and since I'm not laughing, they're not laughing with me. This one is meant to get everybody to wake up. What the heck are we doing here today? Etcetera. I follow that by going, all right, for the next, I'd say, minute, I want you to think of your favorite dance moves because everybody is going to come to the center of this room and give their favorite dance move. And then I say, I'm just kidding. You don't need to do that at all. The warm up does not involve any people. You can do this for 1000 people. It doesn't matter. You can do it for two. Although it's probably more awkward to for some reason than having a lot of people. It's kind of like telling everybody you're starting the day with some hot yoga and you make sure you're serious about it. And everyone's like, what is going on here? Here's the. So what? You have done something very special here. You have created a vulnerable moment for yourself as a facilitator so that you gain some credibility. Moving on. You've also gotten a few people to laugh. You've got a couple people to maybe cry. I'm not really sure. And there might be somebody out there. This happens, I'd say, 1.7 times out of five. Public math. Somebody knows how to breakdance and they will come out in the middle of everyone and they will breakdance and everyone will be like, oh, my gosh. I didn't know you did that. That's so cool.
And it is cool. And it's a way to kind of get everybody really to just relax. There are some embarrassing things here. There's some serious ones here. You can make the conversation go from there to tailor into what you want to accomplish for the day as your workshop. You do not have to be good at dancing to do this. It doesn't even have to be a dance move. It could literally be anything that is very embarrassing, that gets everybody to think, I'm gonna have to do that embarrassing thing in front of everybody also. And it still accomplishes the same type of thing. So try it. Send me a picture. I'd love a video. Send me a video. I'd love to see it. Even if it's just you practicing and going, will this work? And if I laugh at you or with you, I'll let you know."
Dice,Easy,5-10 participants per group.,"Die with space for writing, marker,
questions, or prompts.",5-8 minutes,"Interactions and introductions can be a roll of the dice.
In this icebreaker, prompts will inspire participants to
share lesser-known facts and ideas about their own
life experiences. The intention is to connect individuals
through trust and vulnerability to support effective
collaboration later in the session.",https://stalechips.teachable.com/courses/1732552/lectures/39190180,Before: Diving into the session or a serious module. After: A break or kickoff,"We call it the magic die. The magic dice. I guess dye isn't as sweet, so here's how you do it. Here's what you need. Here's how many people. Materials from dollar tree. Look at that. A simple little die. Can't say dice. Next thing you need, marker. So you can write on it. Number of participants, probably five to ten. You don't want to go crazy. Now. Here's how to do it. On each individual side of the die, I've written things like nickname, hometown, worst job. Best job. Well, not best job. That's too easy. Surprising skill. What you do is have the participants take it, roll it. Whatever lands on top. That's the one they have to answer. Now, if you are in a virtual space, you can roll it on your own. Whatever your thumb lands on. An easy one. Hometown? Well, shoot. I'm from Monroe, Louisiana. And then you get the conversation going again. This is just a start out, maybe a session, maybe just after lunch. Get people going, make everyone have some silly little conversations that are fun. That's when to use it. Why specifically use it? To get just some good vibes going throughout the room. It's no pressure. It's simple. Everyone has a little bit something interesting to tell about themselves. I love the one weird pet. I've had chickens, I've had mud puppies.
I've had leopards. I don't know who had a leopard, but granted, it was in Louisiana, so people have a little bit of everything. It's true. I can see John shaking his head. So recap. I don't want to call it kill or die. That's too intense. The dice game. Roll in with it and you'll have a good time rolling out the rest of the day."
Draw Yourself,Medium,"30 participants or less, which can be broken
into smaller groups for efficiency and ease
of facilitation.","Paper, writing utensils, and engaged
participants.","8-12 minutes
(depending on participants)","How does one introduce themselves? Do people even
like to introduce themselves? Instead of going around
the room to share who is who and how they can sound
cool, this icebreaker creates a moment of pause (4
minutes) for participants to draw their own lives and not
just a portrait of themselves. Draw the features of their
life and provide a snapshot into the life of one another.
30-second description per person.",https://stalechips.teachable.com/courses/1732552/lectures/39190182,Before: Beginning complex exercises. After: Coming from a break.,"For this one, all you need is a writing utensil, something to write on, and an eager audience. Okay?
People don't really like to introduce themselves. Some people do. Johnny probably does because he's got a super interesting story, but not everybody else does. And nobody really knows what to introduce themselves on. It's either family or work for the most part. And there's not anything super interesting about the going beyond that elevator pitch and digging in a little bit deeper. And so, to get everybody warmed up. Beginning of a workshop. They don't know everybody yet. And instead of going around the horn, the room and asking everybody to introduce themselves, where, by the way, everyone's thinking while everyone else is talking, what am I going to say? How am I going to make this cool? And you're getting nervous, and then it gets to you, and then you're done. And then you stop listening to everybody else. I don't know about you. That's kind of what happens with me. Sorry, not sorry. So you tell everybody, I'm going to give everybody four minutes, three minutes. It's up to you to draw yourself with as much detail as possible and put something in that drawing that is meaningful to you or impactful to you or a hobby that you have or something is in that scene.
Okay?
You want to give them enough time that they don't just draw a caricature. They're drawing something that is, you know, they're accentuating. Accentuating the features of their life, right? They're drawing one of their pets or they're drawing, you know, a table saw. Because they do a lot of diy stuff. I don't know what it is. Right. Everybody draws it. And then you have something very cool to show. When you go to the front of the room, the energy is on you. You're not worried about what you're going to say because you're looking at this terrible drawing. Because most people can't draw very well. Here's an example that I drew right before I started. It's not good.
Okay?
I didn't draw anything in there yet, but that's up to you. You can have them add one, two things, just do themselves, whatever, and then describe themselves in about 30 seconds, 45 seconds. If you have 30 people or more. This is very challenging to do because it takes forever. But if you're going to be together for a day, two days, three days, whatnot, it's worth diving in a little bit longer to hear their story a little bit more. Otherwise, something super quick. My name is John. I drew myself like this because I've got my thumb up. I always try to
find the good in what I'm doing, what I'm working on, and who I'm hanging out with. And the thing I drew in this image is a zipline, because I built a zip line in our backyard for my daughter. Blah, blah, blah. Right? And you get to know everybody in the room based on that one little thing. And you give them enough time in the very beginning to draw it so that when they're standing up there, they have something ready to go. For the most part, people are going to laugh at the drawings themselves. They're terrible. They really are. You haven't given enough time to really make it shine. And then when you're done, if you can get everybody with some tape, some painter's tape, to tape up their drawing somewhere on the board, it becomes really funny over time. During breaks, you'll see people go up to that board and go, yeah, this one's me. I suck at drawing. And they'll be like, oh, hey, I noticed that you drew a guitar. I also play the guitar. I'm in this band. Oh, yeah, that's great. I've heard of you guys. That's amazing. And people will always draw this connection with other people in the room based on that. You're getting away from what I do at work. You're getting away from that elevator pitch of this is my family type of thing. Although that's amazing and it's special. People like to know about the hobbies and who you are outside of the work environment, so they can relate to you in some way. Not everybody has the family thing that they can relate to. So this is a way to kind of put everybody on the same playing field really good at the very beginning. I don't recommend you do this any other time than the beginning, unless you add your own twist to it, because at the point where you've already established trust in the room, people are just going to be joking. Everybody's drawing, and it won't be as meaningful. So this is draw yourself intro."
Favorite Picture,Easy,"5-7 participants, as many
groups as desired.",Access to a phone or physical pictures (if on Zoom).,2 minutes,"Much like Favorite Song, this exercise focuses on what
we all love: ourselves! Each participant must find their
SINGLE FAVORITE PICTURE. The kicker: it has to have a
meaningful story behind it. Encourage each person to
find a special moment captured in digital form (or draw
it). This icebreaker develops a trusting bond between the
group that carries on throughout the session.",https://stalechips.teachable.com/courses/1732552/lectures/40817666,Before: Diving into the session or a serious module. After: A break or kickoff,"Favorite picture. You can do this by drawing, you can do this by googling, you can do it on computers, you can do it virtually in person, etcetera. All you need is either paper and a pen or sharpie or your phone. I recommend doing a phone. Everybody pulls out their phone. You give everybody about a minute, they find their single favorite picture. Now, here's the catch. It can't just be a picture of their family. It has to have meaning behind the family. Like, this was the time that we all went to Disney World and has, like, some kind of story behind it. Or we all did this for my wife's birthday, or we all did this for my brother, etcetera. And this is why this moment was special, et cetera, et cetera. Find that special moment, special picture, etcetera. If you don't have one that you want to share personally, find something online that basically conveys your hobbies, your interests, your favorite cookie. It doesn't matter. Find it. Right? You give everybody enough time. They find it, they draw it, whatever you're going to have them do. And in the end, it doesn't matter how many people you have. I recommend more than five, less than five. It becomes very intimate, and you kind of have to ask very specific questions and drill down into those pictures. But more than that, you're able to kind of move along pretty quickly. This can be something that you do at the very beginning of the day to get everybody to kind of get to know each other, loosen up a little bit before moving on. Share some very cool things about one another. Sometimes and oftentimes, I've seen this go very deep, where people share things they wouldn't otherwise share with a group of people. It brings in that trusted element so that when they're working together as a group going forward, things just go smoother for some reason. So this one is favorite picture. You have everybody share it. You have them talk about it, you have them pair up. Whatever you'd like to do at the end of this is completely up to you. But it's just a really good one. Doesn't require a lot of effort on the facilitator's part or the individual's. This is a good one."
Favorite Song,Medium,6-20 participants.,Access to YouTube or a music-playing platform.,5-7 minutes,"Much like Virtual Song, this is an interactive jam session.
However, by playing the song in person, participants are
encouraged to walk around the room and create a noise
balloon of chaos. Used to transition from one moment to
another, it provides a mental break for the participants.",https://stalechips.teachable.com/courses/1732552/lectures/40817636,Before: Diving into the session or a serious module. After: A break or kickoff,"Favorite songs. We've all got them. In this one, all you need is a cell phone or a lot of imagination and the ability for people to sing their own. I don't recommend it. The more people, the better. This one takes less than two and a half minutes to explain. Have them do it. Move on to the next thing. The reason that you do something like this is to completely pivot from where you were to where you're going. It's a cool transition between that so that you kind of just have some pandemonium and chaos before moving on to the next thing. You have everybody give them about 30 to 45 seconds to find their absolute favorite song on their phone. Wait, wait. They find it. Then you make some eye contact with everybody and you go, do you have yours? Do you have yours? Okay, I want everybody to turn up their volume as loud as possible. Get ready. On the count of three, I'm going to have you hit play. And when you do, I want you to walk slowly around, just kind of make a loop around the room in between each other, etcetera, until you get back to where you started. We're going to be doing this for about a minute. No talking. Any questions, et cetera. One, two, three. You hit play. Everyone's holding their phone up and walking through. You're here in country and rap, and you're here in Enya and all kinds of stuff. It is chaos, lots of noise. Again, this is meant to transition from one thing to another. It could be used to come back from a break or after lunch or something like that to get things going. It doesn't add a ton of energy, but it is something that mentally allows you to have that break. You're listening to your own cool song, and then there's just other stuff going on out there you could tie it to. We all have our differences, and that's what makes us special, et cetera. You can do a lot of different things with this one. This one is favorite song."
Giraffe Gaffe,Easy,Unlimited number of participants.,Sheet of paper for each participant.,8-12 minutes,"Be willing to stick your neck out for this energizing
activity. Know origami? Doesn’t matter. In this rapid
exercise, participants will “try their best” to blindly turn a
standard sheet of white paper into a beautiful origami
giraffe. Remember: It’s behind the back, and they’ve only
got 1 min… good luck!",https://stalechips.teachable.com/courses/1732552/lectures/39190183,Before: Beginning complex exercises. After: Coming from a break.,"Giraffes, we all love them. We all have them in our own houses. Some of us ride them to work. No, in this exercise, what we're going to do, what you need, all you need, in fact, is a single sheet of paper per participant. I've done this with unlimited number of participants. So if you have 300,000 people out there in person or online trying to do it, no problem. Standard sheet of a one paper. Here's what we're going to do. This is to get energy going throughout the room. It's super simple, it's super silly. Why it works, I'm not sure. I think because it's so chaotic. Here's the challenge. You're going to challenge all your participants to turn their one single sheet of paper into an origami giraffe. Now, you're not going to show them how to do it. You're not going to teach them how to do it. And you think this would be the hard part. They have 1 minute to turn this sheet of paper into an origami giraffe. Sounds tough enough, right? People will already be saying, oh, I don't know how to origami. Jim, again, always speaking up like that. It's okay because it gets more complex. You have 1 minute, one sheet of paper to turn this normal slice, standard a one slice of goodness into an origami giraffe. And you have to do it behind your back. Now key to tell them all. You can tear it, you can fold it, you can do whatever you want, but it has to be behind your back. And in 1 minute, and do give them 1 minute, you will see that everyone crinkles it up, causes all kinds of chaos. And then when they come out, because I do this so often, I am pretty good at it. They have an origami giraffe. Perfect. First try. Use this exercise to get everyone in the room energized. It'll cause a lot of laughter, a lot of fun. Best used after lunch, after a break. Best used to get everyone smiling after some rough stuff. Five to seven minutes is way too long. Probably two to three minutes is all you need to explain it and run it. Also encourage everyone to celebrate theirs and then give someone a shout out for you know what. That actually does look like a giraffe. Yours looks more like a just a kind of balled up thing like mine."
Globetrotter,Easy,"Unlimited number of participants,
best in smaller groups of 5-7
participants.",Inflatable globe.,4-6 minutes,"An interactive icebreaker that gets the ball moving. Using
an inflatable globe, individuals will share their world
knowledge, random facts, and their own life experiences
to kick off a session. This develops greater trust and
commandery and eases the friction which can occur
during collaboration.",https://stalechips.teachable.com/courses/1732552/lectures/39190184,Before: Beginning the session or serious module. After: Kicking off the session or a break.,"Globetrotter. What do you need? An inflatable globe from dollar tree. Don't use the expensive one from your office. Trust me, your parents will get mad if you steal it from them and if you still live with them. Because some people do that sometimes. Whatever. Here's how to use it. Here's why to use it. Here's when to use it. Let's do that in the reverse order. When to use it. At the beginning of the workshop, not everybody will know each other. There'll be kind of an awkwardness amongst your participants. This is a good way just to get people moving and shaking and to get them sharing, sharing where they're from. First off, just pass it around. Ask everybody. Share their hometown. Point it out. The trick is when you pass it to them, they have to do one more step. Ball's in the air where it lands. Ask them to look at their right hands, pointer finger. Whatever country is closest to it. Or if you're an expert, whatever city is closest to it. Try and name something interesting about that area. Now, it couldn't be a made up fact. It could be a goofy fact. See, I'm near Australia. Australia. I'm actually directly on top of the Great Barrier Reef, which has sadly reduced significantly over the past three to seven years. If you want to travel to the Great Barrier Reef, you should do it soon. That was a sad fact. That was a really sad fact. Let's see if we can make it more positive. Let's put our shrimp on the barbie. There we go. There's my positive fact about Australia. I have a horrible australian accent. So how many people do you use it with? Usually about five to seven.
More than that. It can kind of get out of hand, can kind of go too slow. Your goal is to get the energy going, get people sharing. So you don't want to actually slow it down by having too many people talk. Talk. So this is a quick little exercise, four to five minutes, just to get the people going. Globetrotter."
Greatest Connection,Medium,Unlimited participants.,People and curiosity.,"7 minutes
(for 50 participants)","There are many variations to this icebreaker. The hunt for
the best connection begins! Remember to focus on “the
assist”. Participants will push it to actively listen to others
to uncover common connections between different
individuals. Whichever participant can find the most
obscure, amazing link between two people is the winner!",https://stalechips.teachable.com/courses/1732552/lectures/39190248,Before: Beginning the session or serious module. After: Kicking off the session or a break.,"This is the greatest show. Shout out to my daughter. This is the greatest connection. Okay, there are a lot of variations of this. Warm up, icebreaker, day starter, whatever you want to call it. This is my favorite. You are going to attempt to be the consist of two people in this room that have the greatest connection towards one another. This can be done with as many people as possible. The more people you have, the more time you're going to have to devote. I'll throw out some random numbers for you so that you can at least baseline it. We'll say 50 people, five minutes, plus another two for sharing out. So seven minutes total for this workshop for about 50 people. I said workshop. I meant icebreaker, warm up, day starter, whatever it is. For you, the assist is the most important thing. This isn't about you. You're not going to go around and say, where are you from? What do you do? What are your hobbies, etcetera? You are going to do those things, but instead of thinking in your head, oh, you have nothing to do with me, I'm going to move on. You have to switch it. You are actively listening to what other people are saying so that when you come across somebody else that has a very close connection to somebody else, you've heard, you've got to remember, who was that and how do I get in touch with them? So here's an example. I was at an event. There were probably about 60 to 70 people, and we were introduced to this. And I met somebody. I said, I was in the navy. He asked me a couple questions. I said, yes, I lived in Japan. I go about my questions. I'm talking to other people. And then he comes up. He's dragging this person with him, just super excited. Holding hands. Brings her up, and he's like, she lived in Japan. You lived in Japan. And then he runs off. And so we both take our phones out and we're zooming into the map of where we lived. And we lived within ten homes of each other in Zushi beach in Japan, which is crazy. She was not in the military.
It was amazing. So we get to the end and they say, who here thinks that they have the best connection in this room? And we both raise our hand. We're really excited. We're pumped up. We've gotten to know each other very well. Favorite places to eat and favorite places to go and which trains to avoid and all this stuff. And we go, we have it. We have it for sure. We've got it. And we say it out loud. And long story short, we lost. The point I'm trying to make is the connections that you can make when you are not being. It's not about you. When it's about other people. When you are actively listening and you're trying to make. The assistant is just incredible. You're asking as many questions as you can. You're learning about a lot of people in the room, and you're attempting very quickly to connect what you've heard to what you're hearing now and bring those two together. It's a lot of chaos. And it's just a really good way to take a group of people that don't know each other and get them together. This could be outside of a workshop setting where all they're doing is listening to a keynote, and you could break up keynotes by doing something like this. You could do this before lunch, after lunch, the day in the very beginning. It's up to you. It's a really solid one, to get everybody excited. This is the name of this is. And I only started
saying that and all of this so I could remember the name of what I'm attempting to tell you, which is now I'm going to look, because I have. This is the greatest connection. Thank you. It's the greatest connection."
Human Machine,Medium,5-25 participants per machine.,Excited participants.,5-7 minutes,"Inspired by the timeless game of “Telephone.” This icebreaker creates a physical version of the copycat
game. Not exactly poetry in motion, but this game will get
participants moving and laughing as the original
movement morphs into silliness. Change the atmosphere
in the room and transition to the next exercise. Do not
repeat for long, as participants will disengage.",https://stalechips.teachable.com/courses/1732552/lectures/40817671,Before: Beginning the session or serious module. After: Kicking off the session or a break.,"Not the thing that rings. The age old game where you start something, you say something, you whisper it in somebody's ear, and they go all the way down to the end. Now imagine 20 people. You have everybody face in one direction. As a facilitator. You go up to the person at the very end, you tap them on the shoulder, they turn around and you show them something. There's no, you know, no voice allowed, there's no sound, sound effects allowed. You just show them something. So, example, you do something like this. Everybody can hear that, but you're not saying anything, right? They get it. They turn around to the next person, they tap them, do the same thing, it ensues. It goes all the way down until it gets to the very, very last person. We're all laughing and joking, everybody doing this one thing, and then the very, very last person turns around, does it, we all watch, and then we go back to the very first person that went and immediately have them do it again. You would think that it would be exactly the same, especially with something that cannot be messed up like that. And it is messed up every single time. I don't know if it's people that are doing it on purpose, but there's almost always some element of whatever it is and somebody's a little bit more careless about it and it changes into something completely different. So this might turn into this, which is like a dance, which turns into this, which turns into this, which turns into this. And now the person at the end is doing something that has nothing to do with the horse. It's crazy. Anyways, you don't want to do this for more than 25 people. It gets old. Nobody wants to sit in a line that long to do it. Wouldn't do it for anybody any less than about ten people or so. It can be done in about ten minutes, depending on if you have a conversation afterwards or discussion, be done as short as five minutes. If you get everybody up and running really quick, it is meant to just change the atmosphere of a room, move from one thing to the next thing. You can also tie on a lesson to it, to say, hey, we all have different perspectives. We see and hear things differently, and that's what's going to make our ideas stand out. We're going to come together and improve upon this from our own lens so that we can see the forest through the trees type of thing together."
Improv Stick,Medium,"Unlimited participants in
groups of 10-25 individuals.",People. Rolled paper improv stick. Enthusiasm,7 minutes,"It's more than a stick. It's a kick! Ignoring the rhyme, this
exercise intentionally forces individuals into an awkward,
pressure cooker scenario. Identify the bad apples early,
get the creative juices flowing, and establish the
principles of the session... all while using a simple roll of
paper as the core for the exercise. It could be a bat, and if
so this exercise is a homerun.",https://stalechips.teachable.com/courses/1732552/lectures/39190249,Before: Beginning the session or serious module. After: Kicking off the session or a break.,"One. So you're going to grab something like this, roll up some flip chart or something like that. And you're going to start by getting everybody in a massive circle. I recommend this for about 25 to 30 people. You can do it for smaller groups, and there is a benefit there which I will get to at some point. You can do it for even larger groups, but you risk potentially spending way too much time working on it. You start by going, this is whatever you would like it to be. It's anything. You're going to use this to demonstrate something. You're going to pass this to your left. They're going to take it, demonstrate something else and continue to pass it around every time the person is holding this. It's the opposite of a speaking stick. The person holding this is the only person not allowed to talk. So you're not allowed to say anything. No sound effects, nothing. You just go and you do something. Once somebody in the crowd has guessed what your thing is, you say it again out loud. And then you pass it to your left and they do it. So on, so forth, so on, so forth. Okay, so I'm going to give an example and then I'm going to pass it to Johnny, who can come in. Yeah, please. And then we are going to pretend that I am to the left of Johnny and Johnny's to the left of me as if it were to go around in a circle and continue on and on and on and on. So I demonstrate it again. The person holding this can't talk. The other person guesses what it is, goes around and around. Around. Here's the catch. You can't do anything that's already been done. So if somebody does something and says, this is a whatever, you can't use it again. So I go like this. Baseball bat. Baseball bat. So you say it out loud. Baseball bat. I pass it to you. Golf club. Golf club. Golf club. Tennis. Badminton.
Ping pong? Tennis. Tennis. Bad. Tennis. That's a horse. Yes, horse. Nice. Good. I'm glad I got that. A fork. It's a fork. Okay, we've continued around and around and around. You can leave just for a second. I'll have you come back in a minute. You go all the way around and everyone thinks it's over. Over and there. You know, some people get really confused and they try really hard and they can't think of anything you say. That's literally anything you want. But you started very basic, so most people were basic. Okay, then you start the next round and you go, okay, now we're going this way. I want it to go faster. Pick up the speed. As soon as you get it, do something. It is anything you want it to be. And I'll take it, and I'll go. I'll go like this. And somebody who would be Johnny would be next to me and would say, that is basketball. It's a basketball. It's an arrow. Arrow. Arrow. Surfboard. Surfboard. Wee. It's a swing. Tire swing. Okay, you get out of here. All right. So it goes all the way around again, and everyone's like, oh, cool.
We came up with better ideas. This was awesome. And then you go, we're going again that way. Even faster. Don't mess it up. Don't think too hard. It's literally anything. I'm gonna let you in on a little secret here. I'm saying this to them, but I'm saying it to you, I guess. Look around the room. Is there anything in the room that you could portray with this? Because
most people see this shape, and they think whatever they need to do is. Needs to be in the form of this shape. And I already said, this is anything you want it to be. So don't put your mind on the fact that this cylindrical thing, etcetera. So at the risk of making this too long, I'm not going to have Johnny come back. I was about to, but you have it go. And you go. And you go. Sometimes in the middle, I'll come up to a group as they're thinking, and I'll come up, and I'll rip it in half, and I'll be like, this is your object now. So now you have two. And people will be like, oh, no, I had the best idea, or, you stole my idea and all this stuff, right? And then somebody will do, like, chopsticks and, you know, drums and et cetera, et cetera, et cetera. All kinds of stuff. Some people will make, like, walkie talkies and all that stuff. So here's the so what? Improv. That's great. It's cool. You get to see a bunch of exciting things. Everybody's really excited, pumped up the next. So what is describing to people where their a ideas are, their b ideas, their c ideas, they're d ideas, the ideas that never come up unless you are truly in a safe place and you have the ability to be wrong and truly just let your inner child out and think through the art of the possible. So your a ideas, the things that all look like the cylindrical shape, it is a tennis racket. It's a baseball bat. It's a golf club. These are your a ideas. You're not really digging deep. The second round, you notice I started with a basketball. That thing is as far from a basketball as possible, hopefully to get everybody to realize this is truly anything you want it to be. And then you go to your c ideas and your d ideas.
You can do this as many times as you'd like. Caution. It will get frustrating for a lot of people depending on how many times you go. The second time it's like, oh, wow, this is crazy. The third time it's like, whoa, again. And the fourth time it's like, come on, like, what's the point? I use this for a couple reasons. One, well, I already mentioned a bunch, but one that I have not mentioned yet is to determine who is in the room. Who have I pushed past the breaking point in something that only took six or seven minutes because it went around, it went around again, it went around again. And now they're like, this is dumb. I don't want to play anymore. Well, you now, without actually having to feel the room out, you know who that is, and you can orchestrate your thoughts and your actions for the rest of the day around that individual. Maybe they need more help. Maybe they need a better explanation going into things, et cetera. So I use it kind of as like a screening process. The other one is obviously to pump everybody up. Another one is to talk about improv and why it's important to back your partners up, etcetera. And the person that has the idea that's not allowed to talk. This allows you in the ideation phase to say an idea and then leave it. Say your idea, say your piece and move on, and let people build on your idea type of mentality. So this is a good one. Highly recommend it don't know how to end this other than just like that."
Nike Check,Easy,"As many participants as
desired","Sharpies and a sheet of paper for each participant,
have examples prepped with drawings if desired.",5-7 minutes,"Don’t worry, no running involved! Just creativity. Turns out,
creativity is like a muscle. It can be strengthened with reps.
In this rapid brain warm-up, each participant will have 30
seconds to draw 6 Nike “swooshes” on a sheet of paper
(doesn’t matter if they look like checks, bananas, or blobs).
Using lateral thinking, they must create alternate uses: a
surfer, a smiley face, a high-heel??? Time-boxed, outside-
of-the-box thinking, it’s a warm-up that requires no
exercise. Just do it!",https://stalechips.teachable.com/courses/1732552/lectures/39190251,Before: Beginning the session or serious module. After: Kicking off the session or a break.,"The Nike check warm up. This doesn't involve running. Everybody calm down. All you need for this exercise, I'm going to reach it. Paper sharpie. Each individual is going to need their own stack of a four paper a four. A one paper. A four I think is huge. Don't get that. A one paper one, one per an individual. And here's what we're going to do. We're going to ask the group to draw simply six Nike checks on a page. Now, I'm going to draw them really quickly to show what kind of quality. We're talking about some basic Nike checks. Now, instead of just having them see how good they can draw Nike checks, what we're going to do is see how creative we can be by turning the Nike checks into something else. Example, I love drawing a little dude riding a wave. A little dude riding a wave. That's simple. I give everyone 30 seconds to draw six Nike checks. And then I give them a minute and a half to turn each Nike check into something completely different. Could be a high heel shoe or a clog. If you are in Netherlands, also known as Hollands, also known as Paisa's bajos. I think that's all I got right now. So what we're going to do is give everybody the materials, sharpie, paper, let them draw their six nike checks and then time box them a minute and a half to try and turn all of these into something completely different. This is called alternative uses. Now, this is a lateral thinking exercise in some ways, but it's also a great exercise that can be used before brainstorming or at the beginning of your session. I find it works best with ten people that can be lower or higher. Ten is a really great sweet spot because you are going to call upon them, say, hey, what do you think was the most interesting one you've created? Maybe they drew a surfer, maybe they drew a car. Maybe they drew something even crazier. Get a couple individuals to share. Try and keep it within five to seven minutes so everyone's attention is still high. That they're starting to get a feel for drawing, sharing and the order of operations for the day. Simple nike check, no exercise."
Ninja Tiger Grandma,Easy,"Unlimited, but it needs to
be even numbers.",None needed.,3-5 minutes,"Rock, paper, scissors… Grandma??? Based on the rules
of Rock, Paper, Scissors, but with more movement and
sound. This icebreaker has worked in C-Suite events
and 4th-grade birthday parties. Generating extreme
amounts of energy and laughter, it encourages the
group to engage in the ridiculous to arrive at more
creative results throughout the workshop. Only 3
rounds are needed for hilariousness to ensue!",https://stalechips.teachable.com/courses/1732552/lectures/39190253,Any moment when the energy is low in the room.,"Ninja, tiger Grandma. Sounds exactly like what it is. You saw John possibly go through an exercise of rock, paper, scissors earlier to start a movement. This also generates energy with a whole lot of different rules, but built on the basis of rock, paper, scissors. So we all can review the rules real quick of rock, paper, scissors. So rock, paper, scissors, one of each beats another. I'm going to show you how to play ninja Tiger Grandma, a fun game from people in suits, in boots. They all find it. It's a hoots, huh? Pretty good. Pretty good. So the order of operations is ninja beats tiger. Tiger eats grandma. Grandma, boars ninja to death. Now, grandmas out there, we love you. It doesn't mean you're not fully capable of doing anything in the world, but we're gonna exaggerate it for fun here, okay? So instead of actually doing rock, paper, scissors and that boring nonsense, we're gonna represent ninja with both the movement and the sound of wa. We're gonna represent tiger with a terrifying deep roar of meow. And we're going to represent grandma with the humble old school cane walking around. Okay, now, in order to do this exercise, you need everyone to pair up. So we need groups of two. So find a friend. I'm going to phone a friend to come in, and we're going to repeat that. Ninja beats tiger. Tiger eats grandma, and grandma cleverly poisons the cookies of ninja. Okay, so we're gonna battle off. Do you remember the movements? Can you go over them real quick? Ninja, tiger grandma. Very good. And the more noise, the better. We want energy going throughout the room. So we're just gonna do one round. In your case, it's best of three, and then rotate to find a new partner. Do that two rounds and you should be good to go. So here we go on three. No, I'm going to say, one, two, three, go. And on go, we both have to pick who we're going to be. Okay? One, two, three, go.
Wow. And as you can see, I was ninja. Cause I'm very clever. He was Tiger, which means ninja beats tiger. One more round just for fun on. Go. So I'm going to say, one, two, three, go. One, two, three. As you can see, it's contagious, it's playful, it's fun. And I'm significantly better at this rock paper scissors game than at the last one. Do this when the group is lacking energy. Do this at the beginning of workshop, after a break. Do this when you feel like maybe we've gotten a little too deep, a little too serious. Like I said, if you're in a suit. If you're in a very formal situation, it still works wonders on the atmosphere, the environment of your workshop. It only takes up about five to seven minutes. And you can do it with as many participants as you'd like. If you are one short jump in and become the other partner. If you noticed, one of the important things I was doing was I am the countdown. I say, one, two, three, go every single time. Otherwise you'll have complete chaos. So keep it organized, keep it simple, keep it sweet out there. We love you, grandmas. Ninjas and tigers. Go tigers."
